Product SKU,Product Name,Price,Strike Through Price,Add To Cart Option,Free Delivery Option,Contact For Price Option,Page Link
,Cuisinart CDF-250C Professional Deep Fryer,159.99,,N,N,N,/products/cuisinart-cdf-250c-professional-deep-fryer
,"Nella 11"" Single Electric Countertop Deep Fryer - 34867",327.21,345,N,N,N,/products/nella-11-single-electric-countertop-deep-fryer-34867
SFE01820,Eurodib 6.4 lb. Electric Countertop Fryer - SFE01820,295,,N,N,N,/products/eurodib-sfe01820-6-4-lb-electric-countertop-fryer-120v
SFE01860-120,Eurodib 17 lb. Electric Countertop Fryer - SFE01860-120,380.95,,N,N,N,/products/eurodib-17-lb-electric-countertop-fryer-sfe01860-120
,Globe PF10E-C 10 lb Electric Countertop Fryer,599,,N,N,N,/products/globe-10-lb-electric-countertop-fryer-pf10e-c
,Globe 16 lb. Electric Countertop Fryer - PF16E-C,699,,N,N,N,/products/globe-16-lb-electric-countertop-fryer-pf16e-c
LG300,"Vulcan LG300 35-40 lb. Natural Gas Floor Fryer - 90,000 Btu",,,Y,N,N,/products/vulcan-lg300-1-35-40-lb-natural-gas-floor-fryer-90-000-btu
LG300,"Vulcan LG300 35-40 lb. Liquid Propane Floor Fryer - 90,000 Btu",,,Y,N,N,/products/vulcan-lg300-35-40-lb-liquid-propane-floor-fryer-90-000-btu
LG400,"Vulcan LG400 45-50 lb. Liquid Propane Floor Fryer - 120,000 Btu",,,Y,N,N,/products/vulcan-lg400-45-50-lb-liquid-propane-floor-fryer-120-000-btu
LG400,"Vulcan LG400 45-50 lb. Natural Gas Floor Fryer - 120,000 Btu",,,Y,N,N,/products/vulcan-lg400-45-50-lb-natural-gas-floor-fryer-120-000-btu
,Frymaster Single Super Runner Gas Value Fryer - SR42,"1,161.00",,N,N,N,/products/frymaster-single-super-runner-gas-value-fryer-sr42
40C+,Pitco 40C+ 40-45 lb Tube Fired Economy Natural Gas Floor Fryer,,,Y,N,N,/products/pitco-40c-40-45-lb-tube-fired-economy-natural-gas-floor-fryer
